"(재)충청북도문화재연구원_충청북도 문화재",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
"건강보험심사평가원_병원평가정보서비스",1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
"건강보험심사평가원_우수기관병원평가정보서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_기업집단별 순환출자 현황 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_내부지분(대동비교) 현황 조회",2,2,0,2,1,1,2,2,0,2,1,1,2,1,1,2,2,0
"공정거래위원회_대규모기업집단 계열 편입/제외/유예 변경내역 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 개요 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 임원현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 재무현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 주주현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 참여업종 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_사용 가능 공개년월 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 소속회사 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 자산순위 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_지주회사 설립 전환 신고현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_지주회사 자회사 및 손자회사 현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_특수관계인 내부지분 현황 정보 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"국립해양생물자원관_바다거북 이동경로",2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
"국립해양생물자원관_해양생물종정보 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"국토교통부_전국 교량 및 터널 현황정보",2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
"금융위원회_ISA다모아정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_KRX상장종목정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_금융투자협회기타공시정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_금융투자협회종합통계정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,8,8,0,진단불가,None,0
"금융위원회_금융투자회사공시정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_변액보험기본정보",문서없음,None,0,문서없음,None,0,문서없음,None,0,문서없음,None,0,1,1,0,문서없음,None,0
"금융위원회_서민금융상품기본정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_서민금융지원실적정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_소매채권수익률정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_실손보험정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_일반상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_주식시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,4,4,0,진단불가,None,0
"금융위원회_증권상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_지수시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_채권시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_퇴직연금기본정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_파생상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_펀드상품기본정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"기상청_국내 공항 이륙예보 조회서비스",1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"기상청_세계기상전문(GTS)_조회서비스",4,4,0,4,0,4,4,4,0,4,0,4,4,0,4,4,4,0
"기상청_영향예보_조회서비스",4,4,0,4,0,4,4,4,0,4,0,4,4,0,4,4,4,0
"농촌진흥청 국립식량과학원_참깨지적시험결과성적",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"대구광역시_가로망주정차현황정보서비스",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
"문화재청 국립무형유산원_공방 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_공예품 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_기증기탁 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 공연 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 전시 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 체험교육 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록영화(16mm) 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 사진 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 영상 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 디지털 보고서 목록 조회 서비스",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0
"문화재청 국립무형유산원_무형유산 음원자료 디지털 해설서 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 전승자 구술채록 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 학술보고서 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_소장 음원자료 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_전수교육관 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"부산광역시_부산버스정보시스템",6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,0,0,0
"식품의약품안전처_마스크 관련 업체 행정처분 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"식품의약품안전처_마스크 허가현황 기본정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"식품의약품안전처_마스크 회수 제품 정보",2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
"식품의약품안전처_수입식품 성분코드 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"식품의약품안전처_인체조직 기증 관리현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_인체조직 수입승인 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_인체조직 수입예정 업체 정보",1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"식품의약품안전처_인체조직 수출국 제조원 등록 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_인체조직 이식 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_인체조직 조직기증 입고정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_조직은행 바코드 장비 목록",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_진단시약 수출량 등 보고 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_진단시약 이상사례 제품 및 조치내역 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_진단시약 품목별 포장단위정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_체외진단의료기기 보유업체 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_코로나19 검사관련 의료기기 동등제품 및 형명정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_코로나19 관련 검사기기 GMP지정 승인정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"식품의약품안전처_코로나19 진단시약 국내 허가 제품현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"중앙선거관리위원회_무투표선거구 정보",2,2,0,2,0,2,2,2,0,2,0,2,2,0,2,2,2,0
"중앙선거관리위원회_선거인수현황 정보",5,5,0,5,4,1,5,5,0,5,4,1,5,4,1,5,5,0
"충청북도_ 대규모점포 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_30억 이상 주요사업현황 국고보조사업",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_30억 이상 주요사업현황 도비보조사업",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_녹색제품 구매계획",1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"충청북도_비영리법인 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_사회적 기업현황 및 지원현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_신재생에너지 인허가 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_유원시설업 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_음식물 쓰레기 발생 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_일자리 우수기업 인증현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_장례시설 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_재해위험지구 정비사업 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_전통시장 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_청소년 수련 및 이용시설 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"충청북도_환경오염물질 배출업소 현황",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"한국사회보장정보원_장애인편의시설 현황",2,2,0,2,1,1,2,2,0,2,1,1,2,1,1,2,2,0
"한국에너지공단_1km급 해상도 중심점 위치정보 및 풍력이용률",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"한국에너지공단_K-RE100 참여기업 등록정보 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"한국에너지공단_전국기준 에너지판매량 가중 냉난방도일 정보 조회 서비스",1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
"한국연구재단_금요일에과학터치",6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0
"한국연구재단_인문공감",14,13,1,14,14,0,14,13,1,14,14,0,14,14,0,0,0,0
"한국예탁결제원_REPO정보서비스",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
"한국인터넷진흥원_인터넷주소(도메인이름 아이피) 정보 검색 서비스",4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0
"한국중부발전(주)_발전소 주변 기상 정보_GW",1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"한국중부발전(주)_연료도입실적 조회 서비스_GW",1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"환경부_요소수 정보제공 주유소 재고현황 조회서비스",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
